url1,url2,similarity
https://nordlayer.com/learn/network-security/basics/,https://www.fortinet.com/resources/cyberglossary/what-is-network-security,0.895004210307007
https://nordlayer.com/learn/network-security/basics/,https://www.cisco.com/site/us/en/learn/topics/security/what-is-network-security.html,0.8837072181533095
https://nordlayer.com/learn/network-security/basics/,https://www.trendmicro.com/en_us/what-is/network-security/network-security-basics.html,0.8088659072892439
https://www.fortinet.com/resources/cyberglossary/what-is-network-security,https://www.cisco.com/site/us/en/learn/topics/security/what-is-network-security.html,0.8897519759079654
https://www.fortinet.com/resources/cyberglossary/what-is-network-security,https://www.trendmicro.com/en_us/what-is/network-security/network-security-basics.html,0.8650502575955247
https://www.connectwise.com/blog/phishing-prevention-tips,https://inspiredelearning.com/blog/phishing-protection-checklist/,0.8476720816459724
https://www.phriendlyphishing.com/blog,https://inspiredelearning.com/blog/phishing-protection-checklist/,0.8074405005552014
https://en.wikipedia.org/wiki/SD-WAN,https://www.cisco.com/site/us/en/learn/topics/networking/what-is-sd-wan.html,0.8887147346337045
https://en.wikipedia.org/wiki/SD-WAN,https://www.fortinet.com/resources/cyberglossary/sd-wan-explained,0.9585892049373628
https://en.wikipedia.org/wiki/SD-WAN,https://www.hpe.com/us/en/what-is/sd-wan.html,0.9269599563060806
https://www.cisco.com/site/us/en/learn/topics/networking/what-is-sd-wan.html,https://www.fortinet.com/resources/cyberglossary/sd-wan-explained,0.8884634590442199
https://www.cisco.com/site/us/en/learn/topics/networking/what-is-sd-wan.html,https://www.hpe.com/us/en/what-is/sd-wan.html,0.9074179616019448
https://www.fortinet.com/resources/cyberglossary/sd-wan-explained,https://www.hpe.com/us/en/what-is/sd-wan.html,0.9577236146290031
https://www.fortinet.com/solutions/enterprise-midsize-business/network-access/application-access,https://www.microsoft.com/en-us/security/business/security-101/what-is-zero-trust-network-access-ztna,0.8578007704461039
https://www.fortinet.com/solutions/enterprise-midsize-business/network-access/application-access,https://www.zscaler.com/resources/security-terms-glossary/what-is-zero-trust-network-access,0.9188392327178455
https://www.microsoft.com/en-us/security/business/security-101/what-is-zero-trust-network-access-ztna,https://www.zscaler.com/resources/security-terms-glossary/what-is-zero-trust-network-access,0.9353385252721473
https://sign.dropbox.com/products/dropbox-fax,https://www.fax.plus/,0.9427832939334422
https://sign.dropbox.com/products/dropbox-fax,https://comfax.com/reviews/free-fax/,0.8956861271992244
https://www.fax.plus/,https://comfax.com/reviews/free-fax/,0.874845593505386
https://nytlicensing.com/latest/trends/content-marketing-best-practices-2022/,https://copyblogger.com/content-marketing/,0.9015325102512117
https://nytlicensing.com/latest/trends/content-marketing-best-practices-2022/,https://www.twilio.com/en-us/blog/insights/content-marketing-best-practices,0.9073798273494584
https://nytlicensing.com/latest/trends/content-marketing-best-practices-2022/,https://www.coursera.org/articles/content-strategy,0.900677938937031
https://nytlicensing.com/latest/trends/content-marketing-best-practices-2022/,https://mailchimp.com/marketing-glossary/content-marketing/,0.9014067085106588
https://copyblogger.com/content-marketing/,https://www.twilio.com/en-us/blog/insights/content-marketing-best-practices,0.8949486462809859
https://copyblogger.com/content-marketing/,https://mailchimp.com/marketing-glossary/content-marketing/,0.9222701774866444
https://copyblogger.com/content-marketing/,https://en.wikipedia.org/wiki/Content_marketing,0.8232922463924244
https://www.twilio.com/en-us/blog/insights/content-marketing-best-practices,https://www.coursera.org/articles/content-strategy,0.8382803875028917
https://www.twilio.com/en-us/blog/insights/content-marketing-best-practices,https://mailchimp.com/marketing-glossary/content-marketing/,0.8791869725686996
https://www.akkio.com/beginners-guide-to-machine-learning,https://medium.com/@amitvsolutions/machine-learning-101-the-complete-beginners-guide-to-machine-learning-686a30cbcf6b,0.8519036089556363
https://emotive.io/blog/11-essential-digital-marketing-tips,https://blog.hubspot.com/marketing/what-is-digital-marketing,0.8847900961096729
https://www.forbes.com/advisor/business/what-is-digital-marketing/,https://blog.hubspot.com/marketing/what-is-digital-marketing,0.8587304806396008
https://blog.hubspot.com/marketing/what-is-digital-marketing,https://en.wikipedia.org/wiki/Digital_marketing,0.8255689417612585
https://mailchimp.com/marketing-glossary/content-marketing/,https://en.wikipedia.org/wiki/Content_marketing,0.8074416434049752
https://en.wikipedia.org/wiki/Machine_learning,https://simple.wikipedia.org/wiki/Machine_learning,0.8899023534408592
